"t","CO2","H2","formic_acid","formaldehyde","methanol","CO","acetic_acid","H2O"
1.10043696300986e-06,4717,4701,266,16,0,1,0,17
1.110589122623e-06,4716,4700,267,16,0,1,0,17
1.11342079113833e-06,4715,4699,268,16,0,1,0,17
1.11350922435783e-06,4714,4698,269,16,0,1,0,17
1.11511497429941e-06,4713,4697,270,16,0,1,0,17
1.11815091626727e-06,4712,4696,271,16,0,1,0,17
1.14569204066936e-06,4711,4695,272,16,0,1,0,17
1.16248225064026e-06,4710,4694,273,16,0,1,0,17
1.16287779698053e-06,4709,4693,274,16,0,1,0,17
1.17244025823968e-06,4708,4692,275,16,0,1,0,17
1.17423465322332e-06,4708,4691,275,15,1,1,0,17
1.17686629677954e-06,4707,4690,276,15,1,1,0,17
1.17906569746721e-06,4706,4689,277,15,1,1,0,17
1.18113322269252e-06,4705,4688,278,15,1,1,0,17
1.18311747295786e-06,4704,4687,279,15,1,1,0,17
1.18949706721437e-06,4703,4686,280,15,1,1,0,17
1.19690597349285e-06,4702,4685,281,15,1,1,0,17
1.1986108493972e-06,4701,4684,282,15,1,1,0,17
1.19920352587381e-06,4700,4683,283,15,1,1,0,17
1.19965167888115e-06,4699,4682,284,15,1,1,0,17
1.20352549398644e-06,4698,4681,285,15,1,1,0,17
1.21093150237215e-06,4697,4680,286,15,1,1,0,17
1.21295421507378e-06,4696,4679,287,15,1,1,0,17
1.21467762822754e-06,4695,4678,288,15,1,1,0,17
1.21552607923252e-06,4694,4677,289,15,1,1,0,17
1.22371812529226e-06,4693,4676,290,15,1,1,0,17
1.23337877496146e-06,4692,4675,291,15,1,1,0,17
1.23529140907899e-06,4691,4674,292,15,1,1,0,17
1.240742617663e-06,4690,4673,293,15,1,1,0,17
1.2477710729146e-06,4689,4672,294,15,1,1,0,17
1.24916682924899e-06,4688,4671,295,15,1,1,0,17
1.25093395993758e-06,4688,4670,294,16,1,1,0,18
1.25392957256018e-06,4687,4669,295,16,1,1,0,18
1.2591521649545e-06,4686,4668,296,16,1,1,0,18
1.26013397574883e-06,4685,4667,297,16,1,1,0,18
1.26431921075962e-06,4685,4666,296,17,1,1,0,19
1.26992799037534e-06,4684,4665,297,17,1,1,0,19
1.27133891451785e-06,4683,4664,298,17,1,1,0,19
1.27560812700163e-06,4682,4663,299,17,1,1,0,19
1.27808536827854e-06,4681,4662,300,17,1,1,0,19
1.27880740420944e-06,4680,4661,301,17,1,1,0,19
1.2791195788225e-06,4679,4660,302,17,1,1,0,19
1.27963105350719e-06,4679,4659,301,18,1,1,0,20
1.28038106040962e-06,4679,4658,300,19,1,1,0,21
1.28241255717387e-06,4679,4657,299,20,1,1,0,22
1.28685165352066e-06,4678,4656,300,20,1,1,0,22
1.29654832514126e-06,4677,4655,301,20,1,1,0,22
1.29772740580692e-06,4676,4654,302,20,1,1,0,22
1.30648884717918e-06,4675,4653,303,20,1,1,0,22
1.31242337426737e-06,4674,4652,304,20,1,1,0,22
1.31631963233422e-06,4673,4651,305,20,1,1,0,22
1.31904837564857e-06,4672,4650,306,20,1,1,0,22
1.32030625693617e-06,4672,4649,305,21,1,1,0,23
1.32064894781913e-06,4671,4648,306,21,1,1,0,23
1.32332222962634e-06,4670,4647,307,21,1,1,0,23
1.32431564698185e-06,4669,4646,308,21,1,1,0,23
1.33107857070948e-06,4668,4645,309,21,1,1,0,23
1.3320207080635e-06,4668,4644,308,22,1,1,0,24
1.33662851776736e-06,4667,4643,309,22,1,1,0,24
1.34230585250616e-06,4666,4642,310,22,1,1,0,24
1.34771216968165e-06,4665,4641,311,22,1,1,0,24
1.35226579543414e-06,4664,4640,312,22,1,1,0,24
1.35815869283911e-06,4664,4639,311,23,1,1,0,25
1.35935999813058e-06,4663,4638,312,23,1,1,0,25
1.35995656618237e-06,4662,4637,313,23,1,1,0,25
1.36401330897286e-06,4661,4636,314,23,1,1,0,25
1.37051903628202e-06,4660,4635,315,23,1,1,0,25
1.37904279362568e-06,4659,4634,316,23,1,1,0,25
1.37993280720861e-06,4658,4633,317,23,1,1,0,25
1.38472931757153e-06,4657,4632,318,23,1,1,0,25
1.3929106984087e-06,4656,4631,319,23,1,1,0,25
1.40605065675738e-06,4655,4630,320,23,1,1,0,25
1.40775050031193e-06,4654,4629,321,23,1,1,0,25
1.40819979956327e-06,4653,4628,322,23,1,1,0,25
1.40872391564212e-06,4653,4627,321,24,1,1,0,26
1.4094157244406e-06,4652,4626,322,24,1,1,0,26
1.41304484317056e-06,4651,4625,322,24,1,2,0,27
1.41862349852576e-06,4651,4624,321,25,1,2,0,28
1.41979607289095e-06,4650,4623,322,25,1,2,0,28
1.43093594909094e-06,4649,4622,323,25,1,2,0,28
1.43946261397699e-06,4648,4621,324,25,1,2,0,28
1.43970291744229e-06,4647,4620,325,25,1,2,0,28
1.44147468551155e-06,4646,4619,326,25,1,2,0,28
1.44656450625114e-06,4645,4618,327,25,1,2,0,28
1.45701524399178e-06,4645,4617,326,26,1,2,0,29
1.45845144515686e-06,4644,4616,327,26,1,2,0,29
1.45892912943909e-06,4643,4615,328,26,1,2,0,29
1.46282259905606e-06,4642,4614,329,26,1,2,0,29
1.47391075138999e-06,4641,4613,330,26,1,2,0,29
1.4756972559084e-06,4640,4612,331,26,1,2,0,29
1.47854271845665e-06,4639,4611,332,26,1,2,0,29
1.4821501751134e-06,4638,4610,333,26,1,2,0,29
1.48772497341625e-06,4637,4609,334,26,1,2,0,29
1.49292963359799e-06,4636,4608,335,26,1,2,0,29
1.49339169391526e-06,4636,4607,334,27,1,2,0,30
1.4962558308903e-06,4635,4606,335,27,1,2,0,30
1.50768169733319e-06,4634,4605,336,27,1,2,0,30
1.50781262068465e-06,4633,4604,337,27,1,2,0,30
1.51105222051718e-06,4632,4603,338,27,1,2,0,30
1.51355556527551e-06,4632,4602,337,28,1,2,0,31
1.52809221544432e-06,4631,4601,338,28,1,2,0,31
1.52976908007101e-06,4631,4600,337,29,1,2,0,32
1.53111069481187e-06,4630,4599,338,29,1,2,0,32
1.54162070456744e-06,4629,4598,339,29,1,2,0,32
1.54700332416131e-06,4628,4597,340,29,1,2,0,32
1.547268508701e-06,4627,4596,341,29,1,2,0,32
1.55319506234793e-06,4626,4595,342,29,1,2,0,32
1.55400444368972e-06,4625,4594,343,29,1,2,0,32
1.56244955824143e-06,4624,4593,344,29,1,2,0,32
1.5637826780356e-06,4623,4592,345,29,1,2,0,32
1.56809757256475e-06,4622,4591,346,29,1,2,0,32
1.57078978044364e-06,4621,4590,347,29,1,2,0,32
1.57280837996841e-06,4620,4589,348,29,1,2,0,32
1.5749197703161e-06,4619,4588,349,29,1,2,0,32
1.57500249614211e-06,4618,4587,350,29,1,2,0,32
